Temperature - (Celsius), Year, Statistics, Country, ISO3
-0.1918, 1993, Dec Average, Ukraine, UKR
0.10041, 1994, Jan Average, Ukraine, UKR
-4.9378, 1994, Feb Average, Ukraine, UKR
1.9325, 1994, Mar Average, Ukraine, UKR
10.99, 1994, Apr Average, Ukraine, UKR
14.0483, 1994, May Average, Ukraine, UKR
17.1711, 1994, Jun Average, Ukraine, UKR
21.5429, 1994, Jul Average, Ukraine, UKR
20.1662, 1994, Aug Average, Ukraine, UKR
18.572, 1994, Sep Average, Ukraine, UKR
9.0173, 1994, Oct Average, Ukraine, UKR
1.76916, 1994, Nov Average, Ukraine, UKR
-2.8997, 1994, Dec Average, Ukraine, UKR
-3.8395, 1995, Jan Average, Ukraine, UKR
1.81192, 1995, Feb Average, Ukraine, UKR
3.32032, 1995, Mar Average, Ukraine, UKR
9.26279, 1995, Apr Average, Ukraine, UKR
14.4077, 1995, May Average, Ukraine, UKR
20.1922, 1995, Jun Average, Ukraine, UKR
21.4134, 1995, Jul Average, Ukraine, UKR
19.8561, 1995, Aug Average, Ukraine, UKR
14.7792, 1995, Sep Average, Ukraine, UKR
9.16971, 1995, Oct Average, Ukraine, UKR
0.26176, 1995, Nov Average, Ukraine, UKR
-4.5798, 1995, Dec Average, Ukraine, UKR
-8.3777, 1996, Jan Average, Ukraine, UKR
-6.2059, 1996, Feb Average, Ukraine, UKR
-2.566, 1996, Mar Average, Ukraine, UKR
8.68488, 1996, Apr Average, Ukraine, UKR
17.7789, 1996, May Average, Ukraine, UKR
18.9776, 1996, Jun Average, Ukraine, UKR
20.3332, 1996, Jul Average, Ukraine, UKR
19.6119, 1996, Aug Average, Ukraine, UKR
12.033, 1996, Sep Average, Ukraine, UKR
8.78974, 1996, Oct Average, Ukraine, UKR
6.36322, 1996, Nov Average, Ukraine, UKR
-3.8245, 1996, Dec Average, Ukraine, UKR
-6.1775, 1997, Jan Average, Ukraine, UKR
-2.0765, 1997, Feb Average, Ukraine, UKR
1.46651, 1997, Mar Average, Ukraine, UKR
6.20528, 1997, Apr Average, Ukraine, UKR
15.9685, 1997, May Average, Ukraine, UKR
18.7855, 1997, Jun Average, Ukraine, UKR
19.6674, 1997, Jul Average, Ukraine, UKR
19.1406, 1997, Aug Average, Ukraine, UKR
12.4851, 1997, Sep Average, Ukraine, UKR
6.80233, 1997, Oct Average, Ukraine, UKR
3.19186, 1997, Nov Average, Ukraine, UKR
-3.0012, 1997, Dec Average, Ukraine, UKR
-1.9517, 1998, Jan Average, Ukraine, UKR
-0.1367, 1998, Feb Average, Ukraine, UKR
1.25124, 1998, Mar Average, Ukraine, UKR
10.9944, 1998, Apr Average, Ukraine, UKR
15.0312, 1998, May Average, Ukraine, UKR
20.131, 1998, Jun Average, Ukraine, UKR
20.7712, 1998, Jul Average, Ukraine, UKR
19.5681, 1998, Aug Average, Ukraine, UKR
14.9462, 1998, Sep Average, Ukraine, UKR
8.88879, 1998, Oct Average, Ukraine, UKR
-1.3111, 1998, Nov Average, Ukraine, UKR
-5.07, 1998, Dec Average, Ukraine, UKR
-1.8294, 1999, Jan Average, Ukraine, UKR
-1.3678, 1999, Feb Average, Ukraine, UKR
3.67991, 1999, Mar Average, Ukraine, UKR
11.1859, 1999, Apr Average, Ukraine, UKR
13.1602, 1999, May Average, Ukraine, UKR
21.5044, 1999, Jun Average, Ukraine, UKR
23.0853, 1999, Jul Average, Ukraine, UKR
20.0513, 1999, Aug Average, Ukraine, UKR
16.3131, 1999, Sep Average, Ukraine, UKR
8.94767, 1999, Oct Average, Ukraine, UKR
0.5275, 1999, Nov Average, Ukraine, UKR
0.13223, 1999, Dec Average, Ukraine, UKR
-4.7209, 2000, Jan Average, Ukraine, UKR
-0.3176, 2000, Feb Average, Ukraine, UKR
2.24995, 2000, Mar Average, Ukraine, UKR
12.5687, 2000, Apr Average, Ukraine, UKR
15.4998, 2000, May Average, Ukraine, UKR
18.4787, 2000, Jun Average, Ukraine, UKR
20.1273, 2000, Jul Average, Ukraine, UKR
20.9237, 2000, Aug Average, Ukraine, UKR
13.5201, 2000, Sep Average, Ukraine, UKR
9.41978, 2000, Oct Average, Ukraine, UKR
5.05833, 2000, Nov Average, Ukraine, UKR
0.88929, 2000, Dec Average, Ukraine, UKR
-1.1177, 2001, Jan Average, Ukraine, UKR
-1.9657, 2001, Feb Average, Ukraine, UKR
3.60183, 2001, Mar Average, Ukraine, UKR
10.5503, 2001, Apr Average, Ukraine, UKR
14.3579, 2001, May Average, Ukraine, UKR
16.9563, 2001, Jun Average, Ukraine, UKR
23.6417, 2001, Jul Average, Ukraine, UKR
21.5314, 2001, Aug Average, Ukraine, UKR
14.8186, 2001, Sep Average, Ukraine, UKR
9.61077, 2001, Oct Average, Ukraine, UKR
2.48907, 2001, Nov Average, Ukraine, UKR
-6.8892, 2001, Dec Average, Ukraine, UKR
-3.5541, 2002, Jan Average, Ukraine, UKR
2.77342, 2002, Feb Average, Ukraine, UKR
5.24793, 2002, Mar Average, Ukraine, UKR
9.46961, 2002, Apr Average, Ukraine, UKR
16.3935, 2002, May Average, Ukraine, UKR
19.0018, 2002, Jun Average, Ukraine, UKR
23.7213, 2002, Jul Average, Ukraine, UKR
20.4924, 2002, Aug Average, Ukraine, UKR
15.1879, 2002, Sep Average, Ukraine, UKR
8.11295, 2002, Oct Average, Ukraine, UKR
4.42188, 2002, Nov Average, Ukraine, UKR
-7.8023, 2002, Dec Average, Ukraine, UKR
-4.1109, 2003, Jan Average, Ukraine, UKR
-7.0689, 2003, Feb Average, Ukraine, UKR
-0.2849, 2003, Mar Average, Ukraine, UKR
7.40308, 2003, Apr Average, Ukraine, UKR
18.5605, 2003, May Average, Ukraine, UKR
18.7438, 2003, Jun Average, Ukraine, UKR
20.6151, 2003, Jul Average, Ukraine, UKR
20.228, 2003, Aug Average, Ukraine, UKR
14.3744, 2003, Sep Average, Ukraine, UKR
7.82556, 2003, Oct Average, Ukraine, UKR
3.8757, 2003, Nov Average, Ukraine, UKR
-0.7725, 2003, Dec Average, Ukraine, UKR
-3.8993, 2004, Jan Average, Ukraine, UKR
-2.2723, 2004, Feb Average, Ukraine, UKR
3.81977, 2004, Mar Average, Ukraine, UKR
9.43514, 2004, Apr Average, Ukraine, UKR
13.6408, 2004, May Average, Ukraine, UKR
17.664, 2004, Jun Average, Ukraine, UKR
20.264, 2004, Jul Average, Ukraine, UKR
20.1081, 2004, Aug Average, Ukraine, UKR
14.8265, 2004, Sep Average, Ukraine, UKR
9.67681, 2004, Oct Average, Ukraine, UKR
3.51784, 2004, Nov Average, Ukraine, UKR
0.0599, 2004, Dec Average, Ukraine, UKR
-0.6841, 2005, Jan Average, Ukraine, UKR
-4.579, 2005, Feb Average, Ukraine, UKR
-0.6371, 2005, Mar Average, Ukraine, UKR
9.90856, 2005, Apr Average, Ukraine, UKR
16.186, 2005, May Average, Ukraine, UKR
17.7532, 2005, Jun Average, Ukraine, UKR
21.1265, 2005, Jul Average, Ukraine, UKR
20.6251, 2005, Aug Average, Ukraine, UKR
16.661, 2005, Sep Average, Ukraine, UKR
9.32274, 2005, Oct Average, Ukraine, UKR
2.93515, 2005, Nov Average, Ukraine, UKR
-0.6366, 2005, Dec Average, Ukraine, UKR
-8.1274, 2006, Jan Average, Ukraine, UKR
-5.7217, 2006, Feb Average, Ukraine, UKR
0.6642, 2006, Mar Average, Ukraine, UKR
9.71046, 2006, Apr Average, Ukraine, UKR
14.5456, 2006, May Average, Ukraine, UKR
18.9809, 2006, Jun Average, Ukraine, UKR
20.8875, 2006, Jul Average, Ukraine, UKR
20.9233, 2006, Aug Average, Ukraine, UKR
15.8653, 2006, Sep Average, Ukraine, UKR
10.1887, 2006, Oct Average, Ukraine, UKR
3.85569, 2006, Nov Average, Ukraine, UKR
1.58265, 2006, Dec Average, Ukraine, UKR
1.85285, 2007, Jan Average, Ukraine, UKR
-2.6339, 2007, Feb Average, Ukraine, UKR
5.5426, 2007, Mar Average, Ukraine, UKR
9.10318, 2007, Apr Average, Ukraine, UKR
17.6633, 2007, May Average, Ukraine, UKR
20.8784, 2007, Jun Average, Ukraine, UKR
22.1617, 2007, Jul Average, Ukraine, UKR
22.3295, 2007, Aug Average, Ukraine, UKR
14.9761, 2007, Sep Average, Ukraine, UKR
9.91558, 2007, Oct Average, Ukraine, UKR
1.30961, 2007, Nov Average, Ukraine, UKR
-1.417, 2007, Dec Average, Ukraine, UKR
-3.8162, 2008, Jan Average, Ukraine, UKR
-0.0903, 2008, Feb Average, Ukraine, UKR
4.97177, 2008, Mar Average, Ukraine, UKR
10.7381, 2008, Apr Average, Ukraine, UKR
14.3064, 2008, May Average, Ukraine, UKR
19.1599, 2008, Jun Average, Ukraine, UKR
20.8951, 2008, Jul Average, Ukraine, UKR
21.715, 2008, Aug Average, Ukraine, UKR
14.3892, 2008, Sep Average, Ukraine, UKR
10.6968, 2008, Oct Average, Ukraine, UKR
4.14894, 2008, Nov Average, Ukraine, UKR
-0.575, 2008, Dec Average, Ukraine, UKR
-3.4709, 2009, Jan Average, Ukraine, UKR
-0.9929, 2009, Feb Average, Ukraine, UKR
2.43439, 2009, Mar Average, Ukraine, UKR
10.4115, 2009, Apr Average, Ukraine, UKR
15.0325, 2009, May Average, Ukraine, UKR
20.1893, 2009, Jun Average, Ukraine, UKR
22.1008, 2009, Jul Average, Ukraine, UKR
19.7158, 2009, Aug Average, Ukraine, UKR
16.8126, 2009, Sep Average, Ukraine, UKR
9.82868, 2009, Oct Average, Ukraine, UKR
5.18655, 2009, Nov Average, Ukraine, UKR
-1.9666, 2009, Dec Average, Ukraine, UKR
-7.3178, 2010, Jan Average, Ukraine, UKR
-2.7186, 2010, Feb Average, Ukraine, UKR
1.92454, 2010, Mar Average, Ukraine, UKR
10.16, 2010, Apr Average, Ukraine, UKR
16.6773, 2010, May Average, Ukraine, UKR
20.9866, 2010, Jun Average, Ukraine, UKR
23.1372, 2010, Jul Average, Ukraine, UKR
23.1595, 2010, Aug Average, Ukraine, UKR
15.3332, 2010, Sep Average, Ukraine, UKR
6.56744, 2010, Oct Average, Ukraine, UKR
8.03496, 2010, Nov Average, Ukraine, UKR
-2.5227, 2010, Dec Average, Ukraine, UKR
-3.5819, 2011, Jan Average, Ukraine, UKR
-5.5568, 2011, Feb Average, Ukraine, UKR
1.36795, 2011, Mar Average, Ukraine, UKR
9.53372, 2011, Apr Average, Ukraine, UKR
15.9968, 2011, May Average, Ukraine, UKR
20.2552, 2011, Jun Average, Ukraine, UKR
22.2495, 2011, Jul Average, Ukraine, UKR
20.4305, 2011, Aug Average, Ukraine, UKR
16.4924, 2011, Sep Average, Ukraine, UKR
8.05161, 2011, Oct Average, Ukraine, UKR
1.51137, 2011, Nov Average, Ukraine, UKR
1.64628, 2011, Dec Average, Ukraine, UKR
-3.6853, 2012, Jan Average, Ukraine, UKR
-9.3237, 2012, Feb Average, Ukraine, UKR
2.13553, 2012, Mar Average, Ukraine, UKR
11.8523, 2012, Apr Average, Ukraine, UKR
18.0591, 2012, May Average, Ukraine, UKR
20.8182, 2012, Jun Average, Ukraine, UKR
23.5577, 2012, Jul Average, Ukraine, UKR
21.344, 2012, Aug Average, Ukraine, UKR
16.9593, 2012, Sep Average, Ukraine, UKR
11.1682, 2012, Oct Average, Ukraine, UKR
5.02486, 2012, Nov Average, Ukraine, UKR
-3.8762, 2012, Dec Average, Ukraine, UKR
-3.4649, 2013, Jan Average, Ukraine, UKR
-0.211, 2013, Feb Average, Ukraine, UKR
0.08874, 2013, Mar Average, Ukraine, UKR
10.7526, 2013, Apr Average, Ukraine, UKR
18.6192, 2013, May Average, Ukraine, UKR
20.9318, 2013, Jun Average, Ukraine, UKR
20.9945, 2013, Jul Average, Ukraine, UKR
21.157, 2013, Aug Average, Ukraine, UKR
13.3522, 2013, Sep Average, Ukraine, UKR
9.19012, 2013, Oct Average, Ukraine, UKR
6.37253, 2013, Nov Average, Ukraine, UKR
-0.8678, 2013, Dec Average, Ukraine, UKR
-3.7904, 2014, Jan Average, Ukraine, UKR
-0.847, 2014, Feb Average, Ukraine, UKR
6.22542, 2014, Mar Average, Ukraine, UKR
10.3595, 2014, Apr Average, Ukraine, UKR
16.7836, 2014, May Average, Ukraine, UKR
18.4495, 2014, Jun Average, Ukraine, UKR
22.2301, 2014, Jul Average, Ukraine, UKR
21.6102, 2014, Aug Average, Ukraine, UKR
16.0392, 2014, Sep Average, Ukraine, UKR
8.16263, 2014, Oct Average, Ukraine, UKR
2.47712, 2014, Nov Average, Ukraine, UKR
-1.2387, 2014, Dec Average, Ukraine, UKR
-1.3326, 2015, Jan Average, Ukraine, UKR
-0.8388, 2015, Feb Average, Ukraine, UKR
4.37384, 2015, Mar Average, Ukraine, UKR
9.26591, 2015, Apr Average, Ukraine, UKR
15.8428, 2015, May Average, Ukraine, UKR
20.0986, 2015, Jun Average, Ukraine, UKR
21.7897, 2015, Jul Average, Ukraine, UKR
22.2582, 2015, Aug Average, Ukraine, UKR
18.1966, 2015, Sep Average, Ukraine, UKR
7.74172, 2015, Oct Average, Ukraine, UKR
5.12546, 2015, Nov Average, Ukraine, UKR
1.50248, 2015, Dec Average, Ukraine, UKR
-4.8029, 2016, Jan Average, Ukraine, UKR
2.49111, 2016, Feb Average, Ukraine, UKR
4.43423, 2016, Mar Average, Ukraine, UKR
11.9748, 2016, Apr Average, Ukraine, UKR
15.3589, 2016, May Average, Ukraine, UKR
20.3412, 2016, Jun Average, Ukraine, UKR
22.2098, 2016, Jul Average, Ukraine, UKR
21.552, 2016, Aug Average, Ukraine, UKR
16.1916, 2016, Sep Average, Ukraine, UKR
7.10462, 2016, Oct Average, Ukraine, UKR
1.99954, 2016, Nov Average, Ukraine, UKR
-2.2982, 2016, Dec Average, Ukraine, UKR
